ActionName,TimeStamp
CustomerLogin,2022-04-30T13:23:47.700814
CustomerMenu,2022-04-30T13:23:52.364147
ViewProfile,2022-04-30T13:23:56.406295
AddLoan,2022-04-30T13:24:04.757649
ViewProfile,2022-04-30T13:24:12.760161
CustomerLogin,2022-04-30T13:24:53.924604
CustomerMenu,2022-04-30T13:25:06.565097
AddLoan,2022-04-30T13:25:29.382228
AdminLogin,2022-04-30T13:25:32.597960
AdminMenu,2022-04-30T13:25:39.815237
ViewCustomersThatHaveLoans,2022-04-30T13:25:44.188898
ActionName,TimeStamp
AdminLogin,2022-04-30T14:13:00.382825
AdminMenu,2022-04-30T14:13:05.272755
ActionName,TimeStamp
AdminLogin,2022-04-30T14:13:53.839674
AdminMenu,2022-04-30T14:13:57.820050
ViewBooksFromGivenPublishingHouse,2022-04-30T14:14:01.349078
ActionName,TimeStamp
AdminLogin,2022-04-30T14:14:28.498055
AdminMenu,2022-04-30T14:14:33.209169
ViewBooksFromGivenPublishingHouse,2022-04-30T14:14:38.308061
ViewBooksFromGivenPublishingHouse,2022-04-30T14:15:04.792478
ActionName,TimeStamp
AdminLogin,2022-04-30T15:27:33.742606
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:27:57.588452
CustomerMenu,2022-04-30T15:28:01.165179
ActionName,TimeStamp
AdminLogin,2022-04-30T15:36:48.262001
AdminMenu,2022-04-30T15:36:53.888887
ActionName,TimeStamp
AdminLogin,2022-04-30T15:37:29.587963
AdminMenu,2022-04-30T15:37:33.843061
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:38:35.242276
CustomerMenu,2022-04-30T15:38:39.676914
ActionName,TimeStamp
AdminLogin,2022-04-30T15:39:09.789635
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:39:29.130474
CustomerMenu,2022-04-30T15:39:32.846261
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:40:25.187168
CustomerMenu,2022-04-30T15:40:27.527811
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:41:58.430527
CustomerMenu,2022-04-30T15:42:02.458248
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:42:55.433066
CustomerMenu,2022-04-30T15:42:57.955624
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:44:03.620851
CustomerMenu,2022-04-30T15:44:06.129777
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:45:28.198864
CustomerMenu,2022-04-30T15:45:31.230485
ActionName,TimeStamp
CustomerLogin,2022-04-30T15:47:46.134039
CustomerMenu,2022-04-30T15:47:48.493118
ActionName,TimeStamp
AdminLogin,2022-04-30T16:00:09.609578
AdminMenu,2022-04-30T16:00:15.093081
ActionName,TimeStamp
AdminLogin,2022-04-30T16:05:31.840453
AdminMenu,2022-04-30T16:05:41.336538
ActionName,TimeStamp
AdminLogin,2022-04-30T16:19:39.731262
AdminMenu,2022-04-30T16:19:45.654359
AddBook,2022-04-30T16:19:48.612416
ActionName,TimeStamp
AdminLogin,2022-04-30T16:20:28.380088
AdminMenu,2022-04-30T16:20:32.730620
AddBook,2022-04-30T16:20:36.013486
ActionName,TimeStamp
AdminLogin,2022-04-30T16:21:19.517518
AdminMenu,2022-04-30T16:21:24.195280
AddAudioBook,2022-04-30T16:21:26.999072
ActionName,TimeStamp
AdminLogin,2022-04-30T16:22:17.057302
AdminMenu,2022-04-30T16:22:23.004184
AddBook,2022-04-30T16:22:28.224861
DisplayBooks,2022-04-30T16:23:00.635635
ActionName,TimeStamp
AdminLogin,2022-04-30T16:24:13.282934
AdminMenu,2022-04-30T16:24:17.635158
AddEBook,2022-04-30T16:24:20.466040
DisplayEBooks,2022-04-30T16:24:41.480529
ActionName,TimeStamp
AdminLogin,2022-05-01T15:02:03.297069
AdminMenu,2022-05-01T15:02:06.970131
ViewAvailableBooks,2022-05-01T15:02:10.791404
ViewCustomersThatHaveLoans,2022-05-01T15:02:33.893609
ViewBooksFromGivenPublishingHouse,2022-05-01T15:02:43.315226
ViewBooksFromGivenPublishingHouse,2022-05-01T15:03:07.214707
ViewBooksFromGivenPublishingHouse,2022-05-01T15:03:13.571306
ActionName,TimeStamp
CustomerLogin,2022-05-01T15:06:01.688982
CustomerMenu,2022-05-01T15:06:13.850915
CustomerLogin,2022-05-01T15:06:27.878017
CustomerMenu,2022-05-01T15:06:47.002476
ViewProfile,2022-05-01T15:06:50.752056
ActionName,TimeStamp
AdminLogin,2022-05-01T15:17:56.824586
AdminMenu,2022-05-01T15:18:01.528074
ActionName,TimeStamp
CustomerLogin,2022-05-01T15:18:16.325910
ActionName,TimeStamp
Register,2022-05-01T16:03:37.215460
ActionName,TimeStamp
Register,2022-05-01T16:04:07.968847
CustomerLogin,2022-05-01T16:04:49.724119
ActionName,TimeStamp
Register,2022-05-01T16:06:19.544732
CustomerLogin,2022-05-01T16:07:36.323194
ActionName,TimeStamp
AdminLogin,2022-05-01T16:14:35.629627
AdminMenu,2022-05-01T16:14:39.716761
AddCompany,2022-05-01T16:14:43.637485
ActionName,TimeStamp
AdminLogin,2022-05-01T16:19:29.139943
AdminMenu,2022-05-01T16:19:33.482714
AddCompany,2022-05-01T16:19:36.496068
ActionName,TimeStamp
AdminLogin,2022-05-01T16:39:40.504552
AdminMenu,2022-05-01T16:39:45.084029
AddBook,2022-05-01T16:39:48.391787
